category,name,description,price_small,price_large,tags,available,sort
מהטאבון,פוקצ׳ה טרייה,"מהטאבון, מוגשת עם רוטב עגבניות, שמן זית מעולה, בלסמי וזיתים מתובלים",32,,טבעוני,1,1
בוקר,ארוחת בוקר סאמונה,"2/4 ביצים לבחירה (חביתה / עין / מקושקשת / הפוכה), לחם טאבון חם, סלט ירקות אישי/זוגי, מגוון מטבלים, שתייה חמה או קרה",85,160,חלבי,1,1
בוקר,שקשוקה,"תבשיל עגבניות עשיר, שום וחריף לבחירה, לחם טאבון טרי, סלט אישי וטחינה",68,,חריף,1,2
מהטאבון,טוסט טאבון,"רוטב עגבניות או פסטו, גבינה צהובה, מוצרלה, זיתי קלמטה, עגבניות ובצל סגול",59,,חלבי,1,2
מנות ילדים,סאמונה שניצל,מנת שניצל ביתי בצלחת בתוספת צ'יפס,42,,עוף,1,1
מנות ילדים,מרגריטה ילדים,"רוטב עגבניות טרי, מוצרלה, פרמזן, ובזילקום",42,,חלבי,1,2
מנות ילדים,צ'יפס,,15,,טבעוני,1,3
סלטים,סלט ערבי,"עגבניות, מלפפון, פטרוזיליה, בצל ירוק, נענע ושמן זית",48,,"טבעוני,gluten-free",1,1
סלטים,טאבולה טאבון,"פטרוזיליה, בורגול, עגבניות, מלפפון, לבנה, אצבעות טאבון פריכות ושמן זית מעולה",56,,צמחוני,1,2
סלטים,סלט פטוש,"חסה, עגבניות, מלפפון, גבינה מלוחה, בצל ירוק וקרוטונים",55,,צמחוני,1,3
סלטים,סלט שרי פסטו,"שרי, בצל סגול, בולגרית, זיתים, פסטו ובלסמי",58,,חלבי,1,4
סלטים,סלטון אישי,סלט קצוץ עם שמן זית מעולה,25,,,1,5
פיצות,מרגריטה,"רוטב עגבניות, מוצרלה, פרמזן ובזיליקום",64,79,חלבי,1,1
פיצות,שרי פסטו,"רוטב עגבניות, פרמזן, מוצרלה, זיתי קלמטה, בצל סגול, עגבניות שרי ופסטו בסיום",73,93,חלבי,1,2
פיצות,ביאנקה פטריות,"רוטב ביאנקה, פטריות טריות, מוצרלה ופרמזן",72,92,חלבי,1,3
פיצות,פפרוני,"רוטב עגבניות, פרמזן, מוצרלה, זיתי קלמטה, פסטרמה סלמי, בצל סגול ודבש חריף",73,93,חריף,1,4
מנקיש,זעתר,"שמן זית וזעתר, גבינה מלוחה בתוספת",54,74,צמחוני,1,1
מנקיש,מחמר,"רוטב מחמר פיקנטי, גבינה מלוחה בתוספת",57,77,חריף,0,2
מנקיש,גבינה מלוחה,גבינה מלוחה טרייה,54,74,חלבי,1,3
כריכים,אבוקדו,"גבינה בולגרית, ירקות וחסה",45,,צמחוני,1,1
כריכים,טונה,"איולי עשבים, טונה, רוקט ובצל כבוש",45,,דגים,1,2
כריכים,שניצל,"חרדל דבש, חסה, עגבנייה וחמוצים",50,,עוף,1,3
כריכים,עוף מתובל,"מיונז, חסה ועגבנייה",54,,עוף,1,4
כריכים,שווארמה,"טחינה, עמבה, כרוב וחמוצים",60,,בשר,0,5
כריכים,חביתה,"גבינת שמנת, עגבנייה ובצל ירוק",46,,חלבי,1,6
קינוחים,קינוח סאמונה,מקלות טאבון לצד קרם שוקולד,38,,חלבי,1,1
קינוחים,קינוח היום,שאל את המלצר,,,חלבי,1,2
קינוחים,כנאפה,מתכון הבית,24,,חלבי,1,3
שתייה חמה,אספרסו,קצר / ארוך / כפול,10,12,,1,1
שתייה חמה,מקיאטו,קצר / ארוך / כפול,10,12,,1,2
שתייה חמה,אמריקאנו חם,רגיל / גדול,13,15,,1,3
שתייה חמה,קורטדו,רגיל,14,,,1,4
שתייה חמה,הפוך,רגיל / גדול,14,16,חלבי,1,5
שתייה חמה,שוקו חם,רגיל / גדול,14,16,,1,6
שתייה חמה,נס על חלב,רגיל / גדול,14,16,,1,7
שתייה חמה,קפה ערבי,יחיד/ פינגאן,10,20,,1,8
שתייה חמה,חליטות תה טבעיות,"נענע, מרווה, זוטה לבנה",15,,,1,9
שתייה קרה,אמריקאנו קר,,15,,,1,1
שתייה קרה,לימונדה,,16,,טבעוני,1,2
שתייה קרה,מים מינרלים / סודה,,10,,טבעוני,1,3
שתייה קרה,קפה קר,,19,,,1,4
שתייה קרה,סחוט טרי,,21,,,1,5
שתייה קרה,משקאות מוגזים,,12,,,1,
שתייה קרה,תפוזים,,16,,,0,
